timestamp,dekton_surface_temp_C,indoor_temp_C,indoor_rh_pct,mof_state,mof_condensado_L,seebeck_power_W,battery_pct,battery_status,dew_point_C,condensation_risk,pcm_melt_fraction_pct,pcm_mode,reflectivity_level,evap_cooling_status,ext_temp_C,ext_rh_pct,wind_kmh,irradiance_Wm2,uv_index,pressure_hPa,precipitation_mm,cloud_cover_pct
2026-03-01 0:00:00,8.2,23.9,49.2,Standby,1.2,1.1,84,Cargando Seebeck,12.6,Bajo,66,CHRG,MÍNIMA (ABSORCIÓN),STANDBY,8.2,67.2,10.9,0,0,1019.3,0,45
2026-03-01 1:00:00,7.1,23.6,49.7,Standby,1.2,1.15,84,Cargando Seebeck,12.5,Bajo,66.9,CHRG,MÍNIMA (ABSORCIÓN),STANDBY,7.3,67.5,20.5,0,0,1020,0,33
2026-03-01 2:00:00,8.7,23.7,50.8,Standby,1.19,1.05,84.1,Cargando Seebeck,12.9,Bajo,67.5,CHRG,MÍNIMA (ABSORCIÓN),STANDBY,8.7,63.6,10.6,0,0,1020.3,0,42
2026-03-01 3:00:00,8.5,23.7,51,Standby,1.19,1.07,84.1,Cargando Seebeck,13,Bajo,68.1,CHRG,MÍNIMA (ABSORCIÓN),STANDBY,8.5,58.8,18.9,0,0,1020.8,0,36
2026-03-01 4:00:00,10.2,23.8,51.7,Standby,1.19,0.95,84.1,Cargando Seebeck,13.2,Bajo,68.9,CHRG,MÍNIMA (ABSORCIÓN),STANDBY,10.4,63.6,9.5,0,0,1021.2,0,33
2026-03-01 5:00:00,11.4,23.7,51,Standby,1.19,0.86,84.1,Cargando Seebeck,12.9,Bajo,69.8,CHRG,MÍNIMA (ABSORCIÓN),STANDBY,11.4,60.7,10.1,0,0,1021.4,0,40
2026-03-01 6:00:00,12.8,23.6,50.1,Standby,1.19,0.76,84.1,Cargando Seebeck,12.6,Bajo,70.4,CHRG,MÍNIMA (ABSORCIÓN),STANDBY,12.7,57,10,0,0,1020.9,0,38
2026-03-01 7:00:00,13.7,23.5,50.4,Standby,1.18,0.69,84.2,Cargando Seebeck,12.6,Bajo,70.9,CHRG,MÍNIMA (ABSORCIÓN),STANDBY,13.6,58.3,9.8,0,0,1021.2,0,36
2026-03-01 8:00:00,17.3,23.6,50.5,Standby,1.18,0.48,84.2,Cargando Seebeck,12.7,Bajo,71.4,CHRG,BAJA (NIVEL 1),STANDBY,14.5,54.9,10,93.8,0.9,1021.1,0,38
2026-03-01 9:00:00,22.2,23.5,51.5,Standby,1.18,0,84.3,Cargando Solar,12.9,Bajo,72,CHRG,MEDIA (NIVEL 2),STANDBY,15.8,51.5,16.5,209.3,2,1020.8,0,34
2026-03-01 10:00:00,24.6,23.5,51.1,Standby,1.17,0,84.5,Cargando Solar,12.8,Bajo,72.1,CHRG,MEDIA (NIVEL 2),STANDBY,17.1,48.3,9.1,261,2.5,1020.6,0,36
2026-03-01 11:00:00,27.2,23.6,51.2,Standby,1.17,0.32,84.8,Cargando Solar,12.9,Bajo,72.2,CHRG,MEDIA (NIVEL 2),STANDBY,17.1,50,11.8,332.2,3.2,1019.9,0,38
2026-03-01 12:00:00,28.4,23.5,50.9,Standby,1.17,0.44,85.1,Cargando Solar,12.8,Bajo,72.3,CHRG,MEDIA (NIVEL 2),STANDBY,17.4,48.9,16.3,363,3.5,1019.4,0,38
2026-03-01 13:00:00,28,23.6,50.6,Standby,1.17,0.4,85.3,Cargando Solar,12.7,Bajo,72.4,CHRG,MEDIA (NIVEL 2),STANDBY,17.5,49.6,12.5,347.7,3.3,1019.2,0,42
2026-03-01 14:00:00,30.7,23.6,49.1,Standby,1.16,0.69,85.7,Cargando Solar,12.3,Bajo,72.5,CHRG,MEDIA (NIVEL 2),STANDBY,17,47.2,17.7,460.6,4.4,1018.6,0,33
2026-03-01 15:00:00,27.1,23.8,49.1,Standby,1.16,0.31,86,Cargando Solar,12.4,Bajo,72.6,CHRG,MEDIA (NIVEL 2),STANDBY,16,51,14.3,375.4,3.6,1018.8,0,42
2026-03-01 16:00:00,24.9,23.6,48.9,Standby,1.15,0,86.2,Cargando Solar,12.3,Bajo,72.7,CHRG,MEDIA (NIVEL 2),STANDBY,15.2,53.3,17.9,315.1,3,1018.7,0,39
2026-03-01 17:00:00,20.6,23.6,48.7,Standby,1.15,0.25,86.3,Cargando Solar,12.2,Bajo,72.8,CHRG,MEDIA (NIVEL 2),STANDBY,13.3,56.2,15.3,245.4,2.4,1018.4,0,44
2026-03-01 18:00:00,18,23.5,48.6,Standby,1.15,0.45,86.5,Cargando Solar,12,Bajo,72.9,CHRG,BAJA (NIVEL 1),STANDBY,11.8,58.1,16.4,195.7,1.9,1018.4,0,36
